App Title, Category
Plannarly, Productivity/Task Management
 Hook-ED, Productivity/Task Management
 Key Master, Productivity/Task Management
 Schedulr, Productivity/Task Management
 PlanIt, Productivity/Task Management
 Timely, Productivity/Task Management
 Smart Planner, Productivity/Task Management
Atmos Weather, Weather
Dadify, Parenting/Family
ASLify, Language/Learning/Communication/Accessibility
 Signer, Language/Learning/Communication/Accessibility
 Sign Talk, Language/Learning/Communication/Accessibility
 CommumAphsia, Language/Learning/Communication/Accessibility
LookingGlass, Education
 Bubble Map, Education
 The Legend of Mathematics, Education
 MatheX, Education
 One Connected, Education
 College Major Recommender, Education
 MnewNote, Education
 Pirate Physics, Education
 College Cartographer, Education
 QuizMania, Education
 MathPal, Education
 Masterpieced, Education
 The Ultimate Guide to Artificial Intelligence and Machine Learning, Education
Nutritional Content Intake Calc, Health/Nutrition
 Utrition, Health/Nutrition
No Narcotics, Health/Wellness/Medication Management/Mental Health
 RxAdvisor, Health/Wellness/Medication Management/Mental Health
 TrueDetect, Health/Wellness/Medication Management/Mental Health
IrriSmart, Agriculture/Water Conservation/Food and Agriculture/Sustainability & Lifestyle
 BerriBasket, Agriculture/Water Conservation/Food and Agriculture/Sustainability & Lifestyle
 Aqua Manager, Agriculture/Water Conservation/Food and Agriculture/Sustainability & Lifestyle
Impact, News & Current Events/Social Impact
 Tomorrow's Voices, News & Current Events/Social Impact
 Impact, News & Current Events/Social Impact
Bubble Map, Education
 The Legend of Mathematics, Education
 MatheX, Education
StreBit, Sports & Fitness
 Let's Bear This Together!, Sports & Fitness
 AI Golf Coach, Sports & Fitness
 Swim Meet Tracker, Sports & Fitness
 Rhythm Reader, Sports & Fitness
Carbon Counter, Environmental/Sustainability/Climate Change
 Impact, Environmental/Sustainability/Climate Change
 EcoTakeOut, Environmental/Sustainability/Climate Change
 Clima, Environmental/Sustainability/Climate Change
 Seal of Approval, Environmental/Sustainability/Climate Change
Tortle, Mental Health/Wellness
 Happy Hub, Mental Health/Wellness
 Pomket, Mental Health/Wellness
 Stress Scope, Mental Health/Wellness
 DETICKT, Mental Health/Wellness
 ParkinSense, Mental Health/Wellness
 Negative Headspace, Mental Health/Wellness
 Mental Circle, Mental Health/Wellness
CashCalc, Finance/Utility
Pocket Congress, Social/Community Service/Government/Politics
 Helping Hands, Social/Community Service/Government/Politics
 VetConnect, Social/Community Service/Government/Politics
 TrackmyRep, Social/Community Service/Government/Politics
 Tower Defense, Social/Community Service/Government/Politics
SkinChem, Health/Beauty
Hiker Hunt, Outdoor/Recreation/Beach Safety/Games
 Coastal, Outdoor/Recreation/Beach Safety/Games
 Island Jumpers, Outdoor/Recreation/Beach Safety/Games
Pocket Constitution, Education/Government
RecyLink, Recycling/Environment/Lifestyle/Travel
 Recycle Pro, Recycling/Environment/Lifestyle/Travel
 WeRecycle, Recycling/Environment/Lifestyle/Travel
 Bathroomaccess.com, Recycling/Environment/Lifestyle/Travel
ClassTranslate, Education/Organization/Attendance/Technology
 FBLA Lettering Points Application, Education/Organization/Attendance/Technology
 Speed-Teach, Education/Organization/Attendance/Technology
 Dictionary App, Education/Organization/Attendance/Technology
 Blackhawk School Security, Education/Organization/Attendance/Technology
 TechDetect - a Facial Detection Based Attendance Solution, Education/Organization/Attendance/Technology
 Sentimental, Education/Organization/Attendance/Technology
 SITS, Education/Organization/Attendance/Technology
 Safe In The Sun, Education/Organization/Attendance/Technology
 DHS Club Directory, Education/Organization/Attendance/Technology
 Mental Matter, Education/Organization/Attendance/Technology
 FRA - Facial Recognition Attendance, Education/Organization/Attendance/Technology
 class tracker, Education/Organization/Attendance/Technology
 Job Foundation, Education/Organization/Attendance/Technology
 Tower Defense, Education/Organization/Attendance/Technology
 Paws to Learn, Education/Organization/Attendance/Technology
 SPELL-CADEMY, Education/Organization/Attendance/Technology
Foresight, Accessibility & Assistive Technology/Health & Fitness
 VisionBound, Accessibility & Assistive Technology/Health & Fitness
PCPosture, Health & Wellness
Addvent, Productivity and Goal Setting/Education & Productivity
 Link-It, Productivity and Goal Setting/Education & Productivity
The Help Desk, Customer Support/IT/Communication & News/Social Networking
 NotifyPub, Customer Support/IT/Communication & News/Social Networking
 Found, Customer Support/IT/Communication & News/Social Networking
Pastelia, Social Media
FBLA Lettering Points Application, Education/Organization
Basal Metabolic Rate, Health & Fitness
 myRx, Health & Fitness
 VisionBound, Health & Fitness
 FastUC, Health & Fitness
 Freecare, Health & Fitness
 Nutrate, Health & Fitness
Aqua Manager, Utilities & Lifestyle/Education
 ECO SIM, Utilities & Lifestyle/Education
Affordable Crowd-Funded Earthquake Early Warning System, Disaster Management
ECO SIM, Various categories
 Restoring Mindsets, Various categories
 FastUC, Various categories
 Freecare, Various categories
 EZ Stats, Various categories
 Kids Knack, Various categories
 MisFire, Various categories
